Name	Address	Phone Number	Days	Hours	WeatherPermitting?	"Lat,long"	Additional Info	Google Link
Ada Ada Public Library	"124 S Rennie Ave, Ada, OK 74820"	(580) 436-8125	"M,Tu,W,Th,Fr,Sa 09:00-13:00"	09:00-13:00		"34.773771,-96.678928"		https://goo.gl/maps/HoECHp1oGVduX78CA
Alva Alva Public Library	"504 7th St, Alva, OK 73717"	(580) 327-1833	M 10:00-21:00	10:00-21:00	YES	"36.8035086,-98.670433"		https://goo.gl/maps/Ye7ytjTwe4yBSH8R9
Alva Alva Senior Center/ Panhandle Nutrition	"625 Barnes Ave, Alva, OK 73717"	(580) 327-1822	"M,Tu,W,Th 09:00-15:00"	09:00-15:00	YES	"36.8033857,-98.6722499"		https://goo.gl/maps/e5vVpPfQ2Huhc5Hp8
Ardmore Salvation Army	"101 1st Ave SW, Ardmore, OK 73401"					"34.1716723,-97.1340237"		https://goo.gl/maps/5CZ66YMPHWDt1v3T7
Ardmore Ardmore Public Library 	"320 E St SE, Ardmore, OK 73401"		09:00-17:00	09:00-17:00		"34.1782496,-97.1348454"		https://goo.gl/maps/X7F9szzEZ659RGdZ9
Bethany Bethany Branch YMCA 	"3400 N Mueller Ave, Bethany, OK 73008"	(405) 789 -0231	"M,Tu,W,Th,Fr: 05:00-21:00, Sa 08:00-16:00, Su 13:00-17:00"			"35.5050991,-97.6338253"		https://goo.gl/maps/gFHhfr6pFBEhrsw18
Bethany Bethany Library 	"6700 NW 35th St, Bethany, OK 73008"	(405) 789 -8363	"M,Tu,W,Th 09:00-21:00, Fr 09:00-18:00, Sa 09:00-17:00"			"35.5065782,-97.6359301"		https://g.page/metrolibrarybethany?share
Bethany Daily Living Center 	"3000 N Rockwell Ave, Bethany, OK 73008"	(405) 792 -2401	"M,Tu,W,Th,Fr 06:30-18:30"			"35.4993001,-97.6383755"		https://goo.gl/maps/MgwsCArM8q64XMLUA
Bethany The Salvation Army 	"1012 S Rock Island Ave, El Reno, OK 73036"	(405) 295-2343	"M,W,Th 09:00-12:00 & 13:00-15:00"			"35.524407,-97.9552032"		https://goo.gl/maps/yFe5B1PsF9nemyY87
Bristow Bristow Public Library	"111 W 7th Ave, Bristow, OK 74010"	(918) 367-6562	"M 09:00-18:00, Tu 09:00-19:00, W 09:00-18:00, Th 09:00-19:00, Fr 09:00-15:00, Sa 09:00-13:00"			"35.8340567,-96.3960805"		https://goo.gl/maps/abvmZZGZg8JX37yQA
Checotah Checotah Public Library 	"626 W Gentry Ave, Checotah, OK 74426"	(918) 473-6715	"M 08:30-19:00, T,W,Th,Fr 08:30-18:00, Sa 09:00-13:00"			"35.4707347,-95.5318227"		https://goo.gl/maps/77SNVXhTDs3xRbUe8
Choctaw Choctaw Library	"2525 Muzzy St, Choctaw, OK 73020"	(405) 390-8418	"M,Tu,W,Th 09:00-21:00, Fr 09:00-18:00, Sa 09:00-17:00, Su 12:00-18:00"			"35.4949388,-97.2720872"	paula.joseph-johnson@metrolibrary.org; (405).606.3731	https://g.page/metrolibrarychoctaw?share
Davis Davis Public Library	"209 E Benton Ave, Davis, OK 73030"		11:30am – 5pm	11:30am – 5pm		"34.505814,-97.1226812"		https://goo.gl/maps/Ca4xzcsCmJvrs8tv6
Durant Donald Reynolds Library 	"1515 W Main St, Durant, OK 74701"	(580) 924-3486	"M,Tu,W,Th 09:00-20:00, Fr, Sa 09:00-17:00"			"33.9945125,-96.3957006"		https://goo.gl/maps/TmzLNhtR7RrgnThdA
Edmond Center	"3413 Wynn Dr., Edmond Ok, 73013"	(405) 471-6967	"M,Tu,W,Th,Fr 07:30-17:30"			"35.6219341,-97.4876832"		https://goo.gl/maps/nXnSKHHcr1kN2LLP7
Edmond Library	"10 S Blvd, Edmond, OK 73034"	(405) 341-9282	"M,Tu,W,Th 09:00-21:00, Fr 09:00-18:00, Sa 09:00-17:00, Su 13:00-18:00"			"35.6541916,-97.4820979"		https://g.page/metrolibraryedmond?share
Edmond Mitch Park YMCA 	"2901 Marilyn Williams Dr, Edmond, OK 73003"	(405) 330-4016	M-TH 5am – 10pm; FRI 5am – 9pm; SAT 9am – 5pm; SUN 1pm – 6pm			"35.6847017,-97.5412704"		https://goo.gl/maps/DxyWhcwfVauZCdtNA
Edmond Rankin YMCA	"1220 S Rankin St, Edmond, OK 73034"	(405) 348-9622	M-TH 5am – 10pm; FRI 5am – 9pm; SAT 9am – 5pm; SUN 1pm – 6pm			"35.6405743,-97.4769876"		https://goo.gl/maps/XxmjC5HoXedL8q2z9
Enid Public Library	"120 W Maine St, Enid, OK 73701"	(580) 234-6313	M-F 9am – 7pm; SAT 10am – 6pm			"36.3957872,-97.8812982"		https://goo.gl/maps/sqEdnvoVRFnazD8HA
Enid The Salvation Army	"516 N Independence St, Enid, OK 73701"	(580) 237-1910	M-Su 9am – 4pm			"36.4017072,-97.8824503"		https://goo.gl/maps/iSEp3zte7tshF1YL8
Enid CDSA	"114 S Independence Ave, Enid, OK 73701"	(580) 242-6131	M-F 8am – 5pm			"36.3959437,-97.8822603"		https://goo.gl/maps/ugbwUao6hNDYNU9E6
Eufaula Memorial Library	"301 S 1st St, Eufaula, OK 74432"	(918) 689-2291	"M,W,Th,Fr 9am-6pm, Tu 9am-7pm, Sa 9am-1pm"			"35.2841009,-95.5878632"		https://goo.gl/maps/wqEt5gaXaRxReYhi8
Fort Gibson Q.B. Boydstun Public Library	"201 E S Ave, Fort Gibson, OK 74434"	(918) 478-3587	"MON, WED & FRI 9am-6pm; TUE & THUR 9am-7pm; SAT 9am-2pm"			"35.7925635,-95.2485384"		https://goo.gl/maps/pKEbB3NucK9uKMCy8
Fort Smith Salvation Army	"301 N 6th St, Fort Smith, AR 72901"	(479) 783-6145	M-F 8am-8pm			"35.3899999,-94.4272828"		https://goo.gl/maps/Bsg4TGEE9eTj61Z69
Fort Smith Hope Campus	"301 S E St, Fort Smith, AR 72901"	(479) 668-4764	M-S 8am-10pm			"35.3792599,-94.4329579"		https://goo.gl/maps/x4WNvR9pPU5rrfPaA
Fort Smith Community Rescue 	"310 N F St, Fort Smith, AR 72901"	(479) 782-1443	M-F 8am-8pm			"35.393257, -94.422952"		https://goo.gl/maps/hGzSnLLAEwQKgTR5A
Guthrie YMCA 	"114 E Oklahoma Ave, Guthrie, OK 73044"	(405) 282-8206	"MON-THUR 5am – 8:30pm; FRI 5:30am – 7pm; SAT 8:30am – 3pm;
SUN 2pm – 4pm"			"35.8783109,-97.4246445"		https://goo.gl/maps/GqZMK1abcvQZySiJA
Metropolitan Library System - Harrah Library	"1930 Church Ave, Harrah, OK 73045"	(405) 454-2001	"MON, WED & THUR 9am – 6pm;"			"35.4878308,-97.1615547"	Paula Joseph-Johnson; paula.josephjohnson@metrolibrary.org; (405) 606.3731	https://g.page/metrolibraryharrah?share
"Metropolitan Library System - Jones Library
"	"9295 Willa Wy, Jones, OK 73049"	(405) 399-5471	"MON, WED & THUR 9am – 6pm;"			"35.5655032,-97.3025924"	Paula Joseph-Johnson; paula.josephjohnson@metrolibrary.org; (405) 606.3731	https://g.page/metrolibraryjones?share
Metropolitan Library System - Elizabeth Threatt Luther Library	"310 NE 3rd St, Luther, OK 73054"	(405) 277-9967	"MON, WED & THUR – 9am – 6 pm;"			"35.6640572,-97.19311"	Paula Joseph-Johnson; paula.josephjohnson@metrolibrary.org; (405) 606.3731	https://g.page/metrolibraryluther?share
Madill City Library	"500 W Overton St, Madill, OK 73446"	(580) 795-2749	"MON, TUE, THUR & fri 9:30am – 6:30pm, Wed 9:30 – 7pm"			"34.092478,-96.7750766"		https://goo.gl/maps/ZfSVZGHDJv5qVqo18
Midwest City YMCA 	"2817 N Woodcrest Dr, Midwest City, OK 73110"	(405) 733-9622	MON-THUR 5am – 9pm; FRI 5am – 8:30pm; SAT 8am – 2pm; SUN 2-5pm;			"35.4650993,-97.4182794"	Samantha Marez; smarez@ymcaokc.org; (405) 290.5050	https://goo.gl/maps/k7DCJvLgHFQxdV3M6
Sr Citizens Center	"8251 E Reno Ave, Midwest City, OK 73110"	(405) 739-1200	M-F 8am-5pm;			"35.4659917,-97.3838615"	"Fran Gilles, fgilles@midwestcityok.org

"	https://goo.gl/maps/AAm9RMZbwG48nQPx6
